"Well","cells_per_ml_start","FSCH_start","cells_per_ml_end","FSCH_end","Hours","Temperature","Strain","MicroResp_start","MicroResp_end","ATP_start","ATP_end","OD_start","OD_end","Plate","growth_rate","cell_volume_start","cell_volume_end","cell_diameter_start","cell_diameter_end","mean_diameter_start","mean_diameter_end","mean_volume_start","mean_volume_end","biomass_start","biomass_end","biomass_increase","growth_rate_biomass","CO2_raw","CO2_respired","Resp_rate","C_respired","Resp_rate_per_cell","Resp_rate_per_biomass","ATP_per_ml_start","ATP_per_cell_start","ATP_per_biomass_start","ATP_per_ml_end","ATP_per_cell_end","ATP_per_biomass_end","ATP_per_cell_change","ATP_per_biomass_change","Phylum","Class","Order","Family","Genus","Species"
"F02",5800000,134086.567586207,12500000,156974.82072,3,19,"40_RT_05",0.965916666666667,0.844430240549828,13493,42658,0.0295,0.06925,2,0.255956908918627,1.37059725743776,1.869072414138,1.37817302554988,1.52830195434223,1.42119819979117,1.60237359658354,1.50301241677847,2.15421954973482,0.927372296578729,2.33995516565559,1.41258286907686,0.308510649606432,0.0461492189643141,0.0062187019167241,0.00207290063890803,2.33201321877154,8.90887903036032e-08,0.509315898389851,0.0202969746654574,3.4994783905961e-09,0.0218865440992115,0.0817147756692722,6.53718205354178e-09,0.0349215133984749,2.43480530355516e-09,0.00934107426074906,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"G02",1900000,129256.052631579,4800000,108004.3975,3,19,"40_RT_05",0.965916666666667,0.876368142361111,6533,29382,0.0155,0.04825,2,0.30892067724715,1.2782232476164,0.920921159883225,1.34648864879056,1.20709451498234,1.42119819979117,1.60237359658354,1.50301241677847,2.15421954973482,0.30379437301717,0.898542783611745,0.594748410594576,0.361474417934955,0.0427840393738671,0.00285352232627704,0.000951174108759012,1.07007087235389,1.13988627100004e-07,0.650364488316296,0.00843890924607647,4.44153118214551e-09,0.0277783592969957,0.0520449312074999,1.08426940015625e-08,0.0579214837142225,2.43480530355516e-09,0.00934107426074906,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"H02",1700000,171558.644705882,3400000,202460.885294118,3,19,"40_RT_05",0.965916666666667,0.894440818773553,3411,14045,0.0145,0.03225,2,0.231049060186648,2.24246099208303,3.19130291506759,1.62396036304202,1.82665474297903,1.42119819979117,1.60237359658354,1.50301241677847,2.15421954973482,0.271816017962731,0.636467805058319,0.364651787095589,0.283602800874453,0.0410394467918364,0.00110892974424635,0.000369643248082116,0.41584865409238,5.65184945340747e-08,0.323420444418541,0.00384403099226148,2.26119470133028e-09,0.0141420326185065,0.0213059699266952,6.26646174314563e-09,0.033475330185386,2.43480530355516e-09,0.00934107426074906,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"E07",12300000,204707.68804878,26500000,171186.98290566,3,21,"40_RT_05",0.943197916666667,0.76467465168244,127809,179516,0.077,0.185,2,0.255848490204601,3.26916905233681,2.23237732992974,1.84139200094246,1.62152255410946,1.75638053704068,1.50879400989211,2.83696821508204,1.79840903559769,2.5975976866972,4.5835665978789,1.9859689111817,0.189296792326625,0.0560256077332299,0.0137585859977358,0.0045861953325786,5.15946974915093,9.29607426462381e-08,0.491785681095774,0.30827573267272,2.50630676969691e-08,0.11867724330502,0.465012713633178,1.75476495710633e-08,0.101452156023732,1.96274486836228e-10,0.0235008913981879,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"F07",6300000,190426.662222222,14700000,163192.231428571,3,21,"40_RT_05",0.943197916666667,0.787485957763757,59908,120677,0.037,0.111,2,0.282432620129068,2.79520699426969,2.02272388478256,1.74771970988275,1.56908327583862,1.75638053704068,1.50879400989211,2.83696821508204,1.79840903559769,1.33047686391808,2.5425822259932,1.21210536207512,0.215880922251091,0.0527506387524991,0.0104836170170051,0.00349453900566835,3.93135638137689,1.32183724220644e-07,0.700190649974828,0.123241402943722,1.95621274513845e-08,0.092629497202073,0.287584616670838,1.95635793653631e-08,0.113107302383701,1.96274486836228e-10,0.0235008913981879,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"G07",2800000,180106.855714286,8400000,127622.861428571,3,21,"40_RT_05",0.943197916666667,0.82111384394572,30568,100998,0.018,0.079,2,0.366204096222703,2.48284527233801,1.24795729966222,1.68002990029683,1.33577619972827,1.75638053704068,1.50879400989211,2.83696821508204,1.79840903559769,0.591323050630256,1.45290412913897,0.861581078508716,0.299652398344727,0.0484189346007181,0.00615191286522402,0.00205063762174134,2.30696732445901,1.50860872155146e-07,0.80234850662411,0.0545975431068469,1.94991225381596e-08,0.0923311598434301,0.231856062569002,2.76019122105954e-08,0.159581116137653,1.96274486836228e-10,0.0235008913981879,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"H07",1500000,192763.2,4700000,268923.93787234,3,21,"40_RT_05",0.943197916666667,0.849076275822829,16051,71192,0.01,0.059,2,0.380699133535949,2.86938766847632,6.06487714997252,1.76304555898142,2.26260006521536,1.75638053704068,1.50879400989211,2.83696821508204,1.79840903559769,0.31678020569478,0.812934453208711,0.496154247513931,0.314147435657973,0.0452079411710066,0.00294091943551254,0.000980306478504181,1.1028447883172,1.31203767292812e-07,0.698282568202506,0.025041338254366,1.66942255029107e-08,0.0790495675051539,0.151859422663742,3.23105154603705e-08,0.186804018533526,1.96274486836228e-10,0.0235008913981879,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"E06",24100000,156296.231742739,67200000,158470.42375,3,25,"40_RT_05",0.861270833333333,0.662051645249221,87912,190018,0.07125,0.19125,2,0.341820469010832,1.85278953106121,1.90529596228683,1.52385094466268,1.53811193326373,1.54317788086577,1.65266090725695,1.92418396633194,2.36346886210701,4.29371850859823,13.1008852354366,8.80716672683833,0.371842220142861,0.074204721067985,0.0238220813002826,0.00794069376676085,8.93328048760596,7.08486804194612e-08,0.377166795258658,0.196019047285195,8.13357042677158e-09,0.0456525146892289,0.498128784937212,7.41263072823233e-09,0.0380225287059095,3.99887349600439e-09,0.016977398033541,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"F06",9100000,159754.137032967,27200000,175852.074338235,3,25,"40_RT_05",0.861270833333333,0.690842682567727,41041,135663,0.03725,0.13925,2,0.364980853259716,1.93675828924387,2.36115704088153,1.54653208218999,1.6521218827431,1.54317788086577,1.65266090725695,1.92418396633194,2.36346886210701,1.6212796028317,5.30273926196242,3.68145965913072,0.395002604391745,0.0679501486451792,0.0175675088774768,0.00585583629249225,6.58781582905379,1.32841250961652e-07,0.706840397741545,0.077981879885049,8.56943735000539e-09,0.048098970559333,0.33134339223071,1.21817423614231e-08,0.0624853261421885,3.99887349600439e-09,0.016977398033541,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"G06",6300000,176317.766190476,22200000,189782.854324324,3,25,"40_RT_05",0.861270833333333,0.724227739063105,22413,89208,0.01725,0.10025,2,0.419847551826916,2.37427774469312,2.77499441621802,1.65517645482055,1.74349683671307,1.54317788086577,1.65266090725695,1.92418396633194,2.36346886210701,1.12242434042194,4.32797101527815,3.2055466748562,0.449869302958945,0.0616302984963883,0.0112476587286858,0.00374921957622859,4.21787202325717,1.11375046722249e-07,0.591939952693983,0.0375063661696164,5.95339145549466e-09,0.0334154960997343,0.19952099474953,8.98743219592479e-09,0.0461003537327774,3.99887349600439e-09,0.016977398033541,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"H06",2600000,144602.923076923,11200000,179631.657857143,3,25,"40_RT_05",0.861270833333333,0.751510715652507,11729,84400,0.01125,0.07025,2,0.486800777757871,1.58686911418935,2.46905178361216,1.44715204178986,1.67691297630791,1.54317788086577,1.65266090725695,1.92418396633194,2.36346886210701,0.463222743666199,2.18348087257276,1.72025812890656,0.5168225288899,0.0570918314381771,0.0067091916704746,0.00223639722349153,2.51594687642798,1.4241452281891e-07,0.755873787415064,0.0171319103620105,6.58919629308096e-09,0.0369841735887559,0.186583983306447,1.66592842237899e-08,0.0854525384903408,3.99887349600439e-09,0.016977398033541,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"E06",7400000,178261.308108108,4.7e+07,187251.627744681,4,30,"40_RT_05",0.987822916666667,0.63046046377184,58219,279056,0.10425,0.173,2,0.462166900374984,2.42956114560216,2.69647035903172,1.66792456034226,1.72689398228328,1.7745628110511,1.76733851900242,2.9259894105116,2.8903993522174,1.58407486804018,10.0072308029609,8.42315593492068,0.460826838635343,0.0807175738104556,0.0415751238103393,0.0103937809525848,15.5906714288772,1.81956875986086e-07,0.852958188389459,0.119049708737048,1.60877984779795e-08,0.0751540922332392,0.793024402414712,1.68728596258449e-08,0.0792451396424352,1.56193445126325e-08,0.0736344680430911,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"F06",4600000,223725.316956522,2.7e+07,207723.226888889,4,30,"40_RT_05",0.987822916666667,0.683111412130376,26698,279837,0.04925,0.204,2,0.44244514062732,3.9795786147448,3.37565338841479,1.96613268077505,1.86117156267445,1.7745628110511,1.76733851900242,2.9259894105116,2.8903993522174,0.984695188241194,5.74883471659453,4.76413952835334,0.441105078887679,0.0682417641289442,0.0290993141288279,0.00727482853220697,10.9122427983105,2.15538785690086e-07,1.01034944332412,0.0463488818869939,1.00758438884769e-08,0.0470692681760531,0.79571073080798,2.9470767807703e-08,0.138412525326409,1.56193445126325e-08,0.0736344680430911,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"G06",2800000,181570.642857143,16600000,185278.224819277,4,30,"40_RT_05",0.987822916666667,0.714508182210708,12931,208442,0.02225,0.226,2,0.444945819545334,2.52565704138206,2.63628935836164,1.68963119203598,1.71395001204952,1.7745628110511,1.76733851900242,2.9259894105116,2.8903993522174,0.599379679798988,3.53446875168405,2.93508907188506,0.443605757805694,0.0621151902540317,0.0229727402539154,0.00574318506347885,8.61477759521828,2.77761541833709e-07,1.30202690612041,0.0192785717077492,6.88520418133901e-09,0.0321642063578375,0.557149994025609,3.35632526521451e-08,0.157633305927559,1.56193445126325e-08,0.0736344680430911,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"H06",1800000,257329.443333333,14200000,207346.504647887,4,30,"40_RT_05",0.987822916666667,0.743423665027605,7082,209489,0.01425,0.209,2,0.516363824926274,5.4736427259306,3.36222607983919,2.18654930525326,1.85870056123265,1.7745628110511,1.76733851900242,2.9259894105116,2.8903993522174,0.385315508442206,3.02346122132009,2.63814571287788,0.515023763186633,0.0571652014141276,0.0180227514140113,0.00450568785350283,6.75853178025424,2.81440429107892e-07,1.31941327353214,0.0093044062882068,5.16911460455933e-09,0.0241475001248292,0.560538027094597,3.94745089503237e-08,0.185396135773773,1.56193445126325e-08,0.0736344680430911,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"E10",34500000,205120.228695652,81600000,181202.490490196,3,35,"40_RT_05",0.84059375,0.490179965855107,257650,78317,0.20025,0.368,1,0.286956645977583,3.28360246098823,2.51484364270632,1.8440979429397,1.68721640222398,1.94784819212102,1.93541912674591,3.8695810013847,3.79597818772351,8.34703858835389,19.5771948118499,11.230156223496,0.284152847641209,0.135202230056175,0.084091801099507,0.0280306003665023,31.5344254123151,1.92123417179367e-07,0.797904909006613,0.720023179251797,2.08702370797622e-08,0.0862609141709733,0.170437757780297,2.08869801201344e-09,0.00870593358335137,-9.83941775627163e-09,-0.0403961921561529,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"F10",15300000,220183.337254902,4.4e+07,221660.554909091,3,35,"40_RT_05",0.84059375,0.527510329341317,133919,118079,0.11625,0.289,1,0.352112268506624,3.84016620767294,3.89790678146127,1.94290008127084,1.95258946659528,1.94784819212102,1.93541912674591,3.8695810013847,3.79597818772351,3.70173015657433,10.5563305358014,6.8546003792271,0.349308470170251,0.11573073394122,0.0646203049845526,0.0215401016615175,24.2326143692072,2.97303164368912e-07,1.23488708097201,0.326196321499744,2.13200210130551e-08,0.0881199622075136,0.2801102018345,6.36614095078409e-09,0.0265348077994068,-9.83941775627163e-09,-0.0403961921561529,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"G10",9500000,191707.412736842,3.1e+07,232980.892,3,35,"40_RT_05",0.84059375,0.526514585852479,64514,97423,0.05325,0.242,1,0.39423180195955,2.83570797696282,4.35971688915339,1.75612042538018,2.02684196944432,1.94784819212102,1.93541912674591,3.8695810013847,3.79597818772351,2.29845990114093,7.43741469567829,5.13895479453736,0.391428003623177,0.116194948817309,0.0650845198606414,0.0216948399535471,24.4066949477405,4.47530015308131e-07,1.85902858857392,0.134797334208374,1.41891930745657e-08,0.0586468069951806,0.221962911927755,7.16009393315338e-09,0.0298440951607462,-9.83941775627163e-09,-0.0403961921561529,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
